No.,図形名,文字,UCS,文字,代替変換区分
622,GJ000622,􀓘,U+6536,收,2
623,GJ000623,􀓙,U+8A18,記,2
624,GJ000624,􀓚,U+3091,ゑ,2
625,GJ000625,􀓛,U+5D8B,嶋,2
626,GJ000626,􀔇,U+718A,熊,2
627,GJ000627,􀔈,U+9065,遥,2
628,GJ000628,􀔊,U+5F25,弥,2
629,GJ000629,􀔎,U+5F10,弐,2
630,GJ000630,􀔑,U+7272,牲,2
631,GJ000631,􀔗,U+8302,茂,2
632,GJ000632,􀔘,U+304D,き,2
633,GJ000633,􀕽,U+308B,る,2
634,GJ000634,􀕿,U+3061,ち,1
635,GJ000635,􀖇,U+305D,そ,2
636,GJ000636,􀖢,U+304B,か,2
637,GJ000637,􀖤,U+58FD,壽,2
638,GJ000638,􀖥,U+306E,の,2
639,GJ000639,􀖦,U+304B,か,2
640,GJ000640,􀖧,U+3059,す,2
641,GJ000641,􀗈,U+305F,た,2
642,GJ000642,􀗊,U+58FD,壽,2
643,GJ000643,􀗌,U+304F,く,2
644,GJ000644,􀗍,U+7D2F,累,2
645,GJ000645,􀗒,U+305F,た,2
646,GJ000646,􀗿,U+307F,み,2
647,GJ000647,􀘉,U+307F,み,2
648,GJ000648,􀘜,U+3055,さ,2
649,GJ000649,􀘼,U+3075,ふ,1
650,GJ000650,􀘽,U+3088,よ,2
651,GJ000651,􀙂,U+308C,れ,2
652,GJ000652,􀙄,U+52DD,勝,1
653,GJ000653,􀙏,U+3091,ゑ,2
654,GJ000654,􀙟,U+308C,れ,2
655,GJ000655,􀙰,U+3078,へ,2
656,GJ000656,􀙱,U+3092,を,1
657,GJ000657,􀙲,U+643A,携,2
658,GJ000658,􀙳,U+3073,び,2
659,GJ000659,􀙶,U+5316,化,2
660,GJ000660,􀙾,U+7B79,筹,2
661,GJ000661,􀚂,U+7FA9,義,2
662,GJ000662,􀚆,U+3064,つ,2
663,GJ000663,􀚉,U+3061,ち,2
664,GJ000664,􀚔,U+304B,か,2
665,GJ000665,􀚖,U+9F9C,龜,2
666,GJ000666,􀚘,U+9F9C,龜,2
667,GJ000667,􀚡,U+6885,梅,1
668,GJ000668,􀚤,U+6885,梅,1
669,GJ000669,􀚦,U+6885,梅,2
670,GJ000670,􀚧,U+308D,ろ,2
671,GJ000671,􀚨,U+307F,み,2
672,GJ000672,􀚫,U+51FA,出,1
673,GJ000673,􀚭,U+306A,な,2
674,GJ000674,􀚮,U+3068,と,2
675,GJ000675,􀚯,U+3068,と,2
676,GJ000676,􀚰,U+308B,る,2
677,GJ000677,􀚸,U+306F,は,2
678,GJ000678,􀚾,U+308D,ろ,2
679,GJ000679,􀚿,U+51AC,冬,2
680,GJ000680,􀛀,U+4ECB,介,2
681,GJ000681,􀛉,U+307F,み,2
682,GJ000682,􀛨,U+308B,る,2
